E-comerce,,,,,,,Integrantes,Brandon Dulian Gracias Suárez,,
,,,,,,,,Juan Felipe Pinto Sandoval,,
,,,,Link de los mockups,,,,Edilson Andrés Luna Herrera,,
,,,,Versión ,No 1,,,DAIBER ARLEY MANTILLA CARREÑO,,
,,,,Estado,No aprobada,,,Victor Ricardo Serpa Núñez,,
,,,,,,,,,,
HISTORIAS DE USUARIO,,,,,,,,,,
DIRECCIÓN DE PRIMERA INFANCIA,,,,,,,,,,
App BM,,,,,,,,,,
,,,,,,,,,,
Identificador (ID) de la historia,,,Enunciado de la historia,,,,Criterios de aceptación,,,
,Módulo,Prioridad,Rol,Característica / Funcionalidad,Razón / Resultado,Número (#) de escenario,Criterio de aceptación (Título),Contexto,Evento,Resultado / Comportamiento esperado
EC-001,Registro,ALTO,Usuario comercial,Necesito registrarme,Registrarme para poder acceder al portal web y a sus funcionalidades de listar y vender productos,1,Registro de usuarios,"El usaurio ingresa email y contraseña;
El email debe ser valido, ej: Vane@gmail.com. Si no cumple con este formato debe indicar: ""El correo no cumple con el formato requerido"". Si la contrasena no cumple con las validaciones adecuadas, se debe indicar ""La contrasena debe cumplir con los criterios de longitud, caracteres especiales, y al menos un numero""",El usuario ingresa email y contraseña y da clic en registrar. ,"Si cumple con el correo en formato adecuado y la contraseña es correcta, al dar clic en el botón de ""Registrar"", debe guardarse su informacion en base de datos."
,,,,,,,,,,
EC-002,Login,ALTO,Administrador,Necesito autenticarme,Acceder al sistema,1,Validación de usuarios,"El usaurio ingresa email y contraseña;
 El email debe ser valido, ej: Vane@gmail.com. Si no cumple con este formato debe indicar   que ( las credenciales ingresadas son incorrectas)
Si el usuarios y contraseña son incorrectas tambien debe mostrar (Las credenciales son incorrectas)",El usuario ingresa email y contraseña y da clic en ingresar. ,"Si cumple con el correo en formato adecuado y la contraseña es correcta, al dar clic en el botón de ""Ingresar"" se debe validar en la bd si efectivamente los datos corresponden a un usuario registrado. 
1. Si el usuario no existe en el sistema se le indica que (Las credenciales ingresadas son incorrectas)
2. Si las credenciales son correctas se debe redireccionar al usuario al home para hacer uso de los servicios"
,,,,,,2,Olvido de contraseña,"En caso de que un usuario olvide su contraseña, en la pantalla de inicio se debe dar clic en el botón ""Olvidaste tu contraseña"", lo que permite digitar el correo electronico asociado al usuario y enviar un correo con la contraseña nueva para ingresar al sistema.",Cliente da clic en la opción (Olvidaste tu contraseña),"Si el usuario existe en el sistema, se le indica que hemos enviado un correo a esa dirección con la contraseña de respaldo. 
Si el usuario no existe, se debe mostrar un mensaje donde indique que los datos ingresados son incorrectos. "
,,ALTO,Usuario comercial,Necesito autenticarme,Acceder al sistema para realizar compras,1,Validación de credenciales-usuario,"El usaurio ingresa email y contraseña;
 El email debe ser valido, ej: Vane@gmail.com. Si no cumple con este formato debe indicar   que ( las credenciales ingresadas son incorrectas)
Si el usuarios y contraseña son incorrectas tambien debe mostrar (Las credenciales son incorrectas)",El usuario ingresa email y contraseña y da clic en ingresar. ,"Si cumple con el correo en formato adecuado y la contraseña es correcta, al dar clic en el botón de ""Ingresar"" se debe validar en la bd si efectivamente los datos correcponden a un usuario registrado. 
1. Si el usuario no existe en el sistema se le indica que (Las credenciales ingresadas son incorrectas)
2. Si las credenciales son correctas se debe redireccionar al usuario al home para hacer uso de los servicios"
